Date,Open,High,Low,Close,Adj Close,Volume,DayN,Year,Month,Date,Day
03/08/2020,6099.529785,6223.879883,6056.200195,6220.970215,6220.970215,16580500,150,2020,8,3,0
04/08/2020,6220.240234,6266.220215,6133.569824,6180.779785,6180.779785,21491400,151,2020,8,4,1
05/08/2020,6184.390137,6264.560059,6184.390137,6262.660156,6262.660156,40552000,152,2020,8,5,2
06/08/2020,6262.839844,6270.25,6186.529785,6233.540039,6233.540039,24222800,153,2020,8,6,3
07/08/2020,6230.589844,6293.779785,6185.359863,6278.259766,6278.259766,23257200,154,2020,8,7,4
10/08/2020,6278.410156,6332.350098,6278.410156,6288.549805,6288.549805,15796900,155,2020,8,10,0
11/08/2020,6295.950195,6445.830078,6295.950195,6433.399902,6433.399902,31677700,156,2020,8,11,1
12/08/2020,6432.640137,6496.22998,6376.319824,6487.25,6487.25,37706800,157,2020,8,12,2
13/08/2020,6487.240234,6487.240234,6428.189941,6457.27002,6457.27002,22436200,158,2020,8,13,3
14/08/2020,6464.200195,6464.200195,6319.209961,6380.310059,6380.310059,23281100,159,2020,8,14,4
17/08/2020,6379.930176,6379.930176,6274.299805,6346.799805,6346.799805,12679600,160,2020,8,17,0
18/08/2020,6345.740234,6381.759766,6293.209961,6350.080078,6350.080078,15325600,161,2020,8,18,1
19/08/2020,6347.810059,6385.220215,6332.359863,6379.029785,6379.029785,14869600,162,2020,8,19,2
20/08/2020,6378.819824,6399.759766,6245.97998,6283.339844,6283.339844,17984000,163,2020,8,20,3
21/08/2020,6283.450195,6398.47998,6282.97998,6398.47998,6398.47998,16200200,164,2020,8,21,4
24/08/2020,6400.279785,6488.049805,6400.279785,6460.879883,6460.879883,13803800,165,2020,8,24,0
25/08/2020,6461.180176,6532.439941,6461.180176,6469.009766,6469.009766,21459200,166,2020,8,25,1
26/08/2020,6468.850098,6579.620117,6425.879883,6579.620117,6579.620117,13578400,167,2020,8,26,2
27/08/2020,6574.830078,6626.97998,6536.850098,6536.850098,6536.850098,18219600,168,2020,8,27,3
28/08/2020,6538.140137,6583.209961,6486.509766,6505.009766,6505.009766,21637700,169,2020,8,28,4
31/08/2020,6523.049805,6552.25,6434.439941,6434.439941,6434.439941,15318600,170,2020,8,31,0
01/09/2020,6434.75,6468.819824,6340.509766,6402.390137,6402.390137,24445100,171,2020,9,1,1
02/09/2020,6391.319824,6471.890137,6360.689941,6375.240234,6375.240234,19283500,172,2020,9,2,2
03/09/2020,6385.680176,6454.299805,6290.209961,6294.709961,6294.709961,33794800,173,2020,9,3,3
04/09/2020,6287.319824,6386.859863,6228.549805,6292.390137,6292.390137,31313500,174,2020,9,4,4
07/09/2020,6292.890137,6337.890137,6291.359863,6313.439941,6313.439941,13081400,175,2020,9,7,0
08/09/2020,6313.439941,6322.569824,6205.209961,6283.580078,6283.580078,21594100,176,2020,9,8,1
09/09/2020,6283.580078,6361.629883,6222.450195,6354.259766,6354.259766,18804800,177,2020,9,9,2
10/09/2020,6354.560059,6389.47998,6311.470215,6342.569824,6342.569824,16282300,178,2020,9,10,3
11/09/2020,6351.339844,6374.47998,6310.459961,6369.160156,6369.160156,20475800,179,2020,9,11,4
14/09/2020,6369.160156,6423.620117,6369.160156,6399.879883,6399.879883,17836300,180,2020,9,14,0
15/09/2020,6401.189941,6539.649902,6401.189941,6533.950195,6533.950195,17184400,181,2020,9,15,1
16/09/2020,6533.950195,6595.540039,6516.879883,6592.919922,6592.919922,29807700,182,2020,9,16,2
17/09/2020,6577.759766,6591.450195,6533.410156,6564.77002,6564.77002,27214300,183,2020,9,17,3
18/09/2020,6562.209961,6574.779785,6484.830078,6486.27002,6486.27002,50551400,184,2020,9,18,4
21/09/2020,6472.919922,6472.919922,6223.660156,6253.799805,6253.799805,35205300,185,2020,9,21,0
22/09/2020,6253.799805,6281.129883,6173.359863,6228.72998,6228.72998,29262700,186,2020,9,22,1
23/09/2020,6228.240234,6368.540039,6228.240234,6289.399902,6289.399902,39777100,187,2020,9,23,2
24/09/2020,6286.470215,6286.470215,6190.810059,6239,6239,35442500,188,2020,9,24,3
25/09/2020,6239,6309.220215,6124.859863,6309.220215,6309.220215,22818900,189,2020,9,25,4
28/09/2020,6310.189941,6450.77002,6310.189941,6417.930176,6417.930176,23741600,190,2020,9,28,0
29/09/2020,6418.290039,6430.689941,6342.919922,6380.779785,6380.779785,19057400,191,2020,9,29,1
30/09/2020,6362.580078,6407.459961,6305.209961,6380.899902,6380.899902,24124800,192,2020,9,30,2
01/10/2020,6381.560059,6426.910156,6350.52002,6398.879883,6398.879883,26136500,193,2020,10,1,3
02/10/2020,6398.160156,6398.160156,6300.299805,6386.069824,6386.069824,22640600,194,2020,10,2,4
05/10/2020,6386.470215,6464.589844,6386.470215,6431.100098,6431.100098,19756900,195,2020,10,5,0
06/10/2020,6431.049805,6534.819824,6431.049805,6530.370117,6530.370117,28810600,196,2020,10,6,1
07/10/2020,6500.839844,6625.830078,6499.810059,6621.919922,6621.919922,37914800,197,2020,10,7,2
08/10/2020,6622,6706.75,6621.299805,6683.580078,6683.580078,649773700,198,2020,10,8,3
09/10/2020,6679.680176,6715.160156,6655.830078,6688.069824,6688.069824,27316600,199,2020,10,9,4
12/10/2020,6688.189941,6772.930176,6679.240234,6741.160156,6741.160156,17098300,200,2020,10,12,0
13/10/2020,6741.160156,6752.040039,6664.370117,6687.089844,6687.089844,21546800,201,2020,10,13,1
14/10/2020,6689.72998,6729.160156,6647.990234,6699.910156,6699.910156,19741400,202,2020,10,14,2
15/10/2020,6697.790039,6697.790039,6538.100098,6587.919922,6587.919922,25214900,203,2020,10,15,3
16/10/2020,6587.919922,6672.890137,6587.919922,6609.609863,6609.609863,21593100,204,2020,10,16,4
19/10/2020,6607.890137,6661.069824,6597.660156,6597.660156,6597.660156,13836700,205,2020,10,19,0
20/10/2020,6608.990234,6658.879883,6576.72998,6601.390137,6601.390137,18110700,206,2020,10,20,1
21/10/2020,6609.410156,6614.310059,6478.160156,6494.27002,6494.27002,22775200,207,2020,10,21,2
22/10/2020,6494.859863,6550.189941,6434.669922,6523.649902,6523.649902,20247000,208,2020,10,22,3
23/10/2020,6524.189941,6593.649902,6501.549805,6574.399902,6574.399902,21173500,209,2020,10,23,4
26/10/2020,6556.859863,6574.870117,6446.319824,6464.680176,6464.680176,22835300,210,2020,10,26,0
27/10/2020,6464.740234,6464.740234,6314.890137,6339.819824,6339.819824,20010700,211,2020,10,27,1
28/10/2020,6327.129883,6327.129883,6117.640137,6168.240234,6168.240234,27135300,212,2020,10,28,2
29/10/2020,6171.970215,6392.700195,6170.339844,6359.589844,6359.589844,25016700,213,2020,10,29,3
30/10/2020,6345.890137,6436.129883,6300.47998,6427.75,6427.75,22977200,214,2020,10,30,4
02/11/2020,6427.75,6546.540039,6396.049805,6516.819824,6516.819824,18646400,215,2020,11,2,0
03/11/2020,6534.160156,6706.060059,6534.160156,6703.100098,6703.100098,24371100,216,2020,11,3,1
04/11/2020,6698.819824,6811.640137,6539.879883,6749.290039,6749.290039,24941600,217,2020,11,4,2
05/11/2020,6770.109863,6836.169922,6729.879883,6799.450195,6799.450195,29584000,218,2020,11,5,3
06/11/2020,6788.609863,6855.259766,6710.149902,6814.549805,6814.549805,23635500,219,2020,11,6,4
09/11/2020,6815.080078,7188.089844,6815.080078,6993.120117,6993.120117,44689600,220,2020,11,9,0
10/11/2020,6993.640137,7104.390137,6944.879883,7104.390137,7104.390137,60291900,221,2020,11,10,1
11/11/2020,7104.390137,7239.200195,7104.390137,7230.540039,7230.540039,30257000,222,2020,11,11,2
12/11/2020,7230.540039,7251.25,7149.890137,7165.370117,7165.370117,41273600,223,2020,11,12,3
13/11/2020,7166.160156,7191.830078,7099.450195,7177.120117,7177.120117,21905200,224,2020,11,13,4
16/11/2020,7182.47998,7257.419922,7150.890137,7234.850098,7234.850098,27141600,225,2020,11,16,0
17/11/2020,7219.669922,7221.700195,7070.5,7105.779785,7105.779785,23441500,226,2020,11,17,1
18/11/2020,7105.990234,7187.830078,7071.799805,7187.509766,7187.509766,26153400,227,2020,11,18,2
19/11/2020,7187.109863,7187.109863,7070.509766,7087.950195,7087.950195,18812300,228,2020,11,19,3
20/11/2020,7088.100098,7136.560059,7070.299805,7125.990234,7125.990234,19209300,229,2020,11,20,4
23/11/2020,7125.990234,7184.169922,7081.350098,7081.350098,7081.350098,20746100,230,2020,11,23,0
24/11/2020,7081.600098,7147.720215,7040.27002,7147.720215,7147.720215,30781700,231,2020,11,24,1
